0,AXISBANK
1,BAJFINANCE
2,BAJAJFINSV
3,BAJAJHLDNG
4,CHOLAFIN
5,HDFCAMC
6,HDFCBANK
7,HDFCLIFE
8,HDFC
9,ICICIBANK
10,ICICIGI
11,ICICIPRULI
12,KOTAKBANK
13,M&MFIN
14,PEL
15,PFC
16,RECLTD
17,SBILIFE
18,SRTRANSFIN
19,SBIN
